iter	Passed	Remaining
0	166	166734
1	188	93870
2	210	69954
3	231	57688
4	266	53025
5	289	48042
6	312	44398
7	336	41724
8	355	39195
9	377	37343
10	396	35679
11	416	34272
12	438	33273
13	459	32369
14	479	31469
15	498	30630
16	519	30015
17	543	29646
18	562	29056
19	587	28771
20	609	28418
21	631	28051
22	650	27615
23	670	27279
24	689	26907
25	708	26557
26	729	26279
27	753	26154
28	780	26127
29	807	26093
30	826	25834
31	854	25843
32	880	25789
33	907	25783
34	926	25553
35	950	25448
36	973	25334
37	995	25191
38	1015	25032
39	1037	24909
40	1057	24732
41	1079	24611
42	1098	24458
43	1120	24338
44	1146	24327
45	1165	24164
46	1183	24006
47	1203	23876
48	1225	23783
49	1245	23655
50	1265	23550
51	1285	23426
52	1303	23290
53	1324	23209
54	1350	23203
55	1370	23097
56	1389	22982
57	1410	22912
58	1431	22831
59	1450	22730
60	1469	22618
61	1494	22616
62	1515	22538
63	1534	22441
64	1553	22348
65	1574	22283
66	1595	22216
67	1617	22169
68	1639	22127
69	1662	22087
70	1681	22007
71	1709	22029
72	1736	22049
73	1761	22040
74	1781	21970
75	1811	22023
76	1842	22085
77	1862	22011
78	1899	22146
79	1932	22228
80	1955	22188
81	1994	22325
82	2065	22816
83	2124	23165
84	2199	23678
85	2259	24008
86	2311	24258
87	2373	24593
88	2427	24843
89	2507	25351
90	2628	26256
91	2689	26544
92	2734	26668
93	2756	26570
94	2778	26469
95	2802	26388
96	2822	26274
97	2844	26179
98	2878	26195
99	2910	26194
100	2938	26151
101	2965	26111
102	3000	26131
103	3034	26144
104	3054	26034
105	3074	25931
106	3097	25849
107	3119	25763
108	3141	25677
109	3166	25623
110	3206	25679
111	3269	25922
112	3377	26515
113	3438	26725
114	3508	27003
115	3567	27185
116	3627	27376
117	3672	27447
118	3718	27527
119	3738	27413
120	3763	27336
121	3783	27231
122	3808	27157
123	3829	27054
124	3854	26978
125	3877	26894
126	3909	26873
127	3939	26839
128	4049	27344
129	4232	28328
130	4393	29142
131	4467	29378
132	4496	29314
133	4525	29247
134	4547	29139
135	4575	29067
136	4617	29083
137	4645	29016
138	4671	28935
139	4713	28953
140	4749	28936
141	4773	28845
142	4794	28735
143	4814	28618
144	4836	28519
145	4857	28412
146	4879	28315
147	4903	28227
148	4927	28143
149	4953	28068
150	4983	28020
151	5008	27940
152	5028	27836
153	5050	27744
154	5070	27644
155	5092	27553
156	5116	27470
157	5149	27441
158	5175	27372
159	5201	27306
160	5224	27224
161	5248	27151
162	5271	27070
163	5293	26982
164	5318	26915
165	5339	26827
166	5364	26756
167	5385	26669
168	5406	26585
169	5431	26517
170	5453	26438
171	5474	26353
172	5499	26291
173	5527	26238
174	5549	26160
175	5570	26079
176	5594	26012
177	5615	25933
178	5636	25851
179	5663	25802
180	5716	25865
181	5770	25933
182	5796	25877
183	5817	25797
184	5836	25714
185	5859	25641
186	5879	25560
187	5904	25501
188	5928	25437
189	5949	25363
190	5971	25294
191	5993	25223
192	6023	25187
193	6050	25139
194	6073	25070
195	6093	24995
196	6113	24917
197	6136	24854
198	6156	24778
199	6177	24708
200	6206	24669
201	6233	24626
202	6257	24567
203	6286	24531
204	6309	24467
205	6329	24396
206	6354	24343
207	6375	24275
208	6412	24269
209	6439	24224
210	6466	24180
211	6489	24120
212	6511	24060
213	6531	23988
214	6551	23921
215	6570	23847
216	6590	23781
217	6613	23723
218	6634	23660
219	6660	23613
220	6682	23554
221	6703	23491
222	6724	23429
223	6746	23373
224	6766	23305
225	6787	23244
226	6806	23179
227	6826	23114
228	6847	23053
229	6867	22991
230	6899	22969
231	6922	22916
232	6948	22872
233	6995	22900
234	7055	22967
235	7085	22938
236	7119	22920
237	7146	22881
238	7168	22825
239	7195	22786
240	7220	22741
241	7249	22707
242	7309	22770
243	7330	22711
244	7356	22669
245	7380	22621
246	7411	22594
247	7442	22567
248	7464	22514
249	7488	22466
250	7508	22405
251	7527	22344
252	7549	22290
253	7571	22236
254	7594	22187
255	7626	22163
256	7652	22124
257	7674	22070
258	7699	22028
259	7720	21973
260	7741	21918
261	7760	21860
262	7783	21810
263	7803	21754
264	7827	21710
265	7850	21661
266	7870	21606
267	7897	21570
268	7919	21519
269	7938	21464
270	7962	21420
271	7986	21374
272	8021	21360
273	8057	21350
274	8093	21338
275	8120	21301
276	8144	21256
277	8164	21204
278	8184	21150
279	8231	21166
280	8264	21146
281	8294	21117
282	8322	21084
283	8343	21034
284	8363	20981
285	8383	20930
286	8404	20880
287	8424	20826
288	8444	20774
289	8464	20722
290	8486	20675
291	8506	20626
292	8526	20574
293	8545	20521
294	8586	20520
295	8615	20491
296	8639	20449
297	8658	20397
298	8678	20346
299	8697	20294
300	8719	20249
301	8740	20201
302	8760	20152
303	8780	20102
304	8802	20058
305	8822	20008
306	8842	19961
307	8865	19919
308	8898	19900
309	8923	19862
310	8951	19830
311	8981	19805
312	9010	19776
313	9038	19746
314	9068	19720
315	9103	19704
316	9148	19710
317	9189	19707
318	9220	19683
319	9250	19656
320	9270	19609
321	9296	19574
322	9323	19540
323	9353	19514
324	9383	19489
325	9404	19444
326	9429	19406
327	9450	19362
328	9470	19315
329	9494	19277
330	9517	19237
331	9538	19192
332	9563	19154
333	9584	19110
334	9604	19066
335	9629	19029
336	9650	18985
337	9670	18941
338	9695	18904
339	9716	18862
340	9737	18818
341	9763	18784
342	9790	18753
343	9813	18713
344	9834	18670
345	9861	18640
346	9883	18599
347	9912	18571
348	9933	18528
349	9955	18488
350	9974	18443
351	9997	18405
352	10019	18363
353	10039	18320
354	10059	18276
355	10081	18236
356	10104	18199
357	10125	18157
358	10145	18114
359	10173	18085
360	10195	18046
361	10223	18018
362	10251	17989
363	10271	17946
364	10292	17906
365	10312	17864
366	10334	17824
367	10366	17804
368	10396	17778
369	10416	17736
370	10437	17696
371	10456	17653
372	10477	17611
373	10498	17573
374	10518	17531
375	10539	17491
376	10567	17462
377	10586	17420
378	10605	17378
379	10626	17337
380	10647	17298
381	10668	17259
382	10687	17216
383	10707	17176
384	10728	17138
385	10753	17105
386	10774	17065
387	10794	17025
388	10814	16985
389	10835	16947
390	10855	16907
391	10879	16874
392	10902	16839
393	10928	16808
394	10951	16774
395	10990	16763
396	11016	16732
397	11050	16714
398	11096	16713
399	11134	16702
400	11171	16687
401	11241	16722
402	11337	16794
403	11403	16823
404	11495	16888
405	11527	16865
406	11548	16825
407	11569	16787
408	11614	16783
409	11665	16786
410	11712	16784
411	11790	16826
412	11815	16793
413	11886	16825
414	11970	16873
415	12073	16948
416	12161	17003
417	12241	17044
418	12261	17002
419	12294	16977
420	12319	16943
421	12347	16912
422	12370	16874
423	12407	16855
424	12435	16824
425	12456	16784
426	12484	16753
427	12512	16721
428	12535	16684
429	12557	16646
430	12578	16605
431	12598	16564
432	12628	16536
433	12648	16496
434	12671	16458
435	12691	16417
436	12710	16375
437	12731	16335
438	12754	16299
439	12780	16265
440	12803	16229
441	12824	16190
442	12847	16153
443	12868	16114
444	12906	16096
445	12928	16059
446	12957	16030
447	12978	15990
448	13001	15955
449	13027	15921
450	13051	15887
451	13071	15847
452	13092	15809
453	13111	15768
454	13133	15730
455	13155	15694
456	13175	15655
457	13198	15619
458	13218	15580
459	13239	15542
460	13259	15502
461	13282	15467
462	13304	15430
463	13324	15391
464	13348	15357
465	13368	15318
466	13389	15281
467	13416	15251
468	13449	15227
469	13474	15194
470	13496	15158
471	13519	15124
472	13562	15110
473	13592	15083
474	13632	15067
475	13664	15041
476	13702	15023
477	13730	14994
478	13770	14977
479	13813	14964
480	13871	14966
481	13911	14950
482	13954	14936
483	14068	14998
484	14124	14997
485	14158	14974
486	14184	14942
487	14208	14907
488	14233	14873
489	14259	14841
490	14283	14806
491	14306	14771
492	14326	14733
493	14346	14695
494	14373	14663
495	14394	14626
496	14414	14588
497	14436	14552
498	14459	14516
499	14483	14483
500	14509	14451
501	14537	14421
502	14557	14383
503	14590	14359
504	14619	14329
505	14641	14294
506	14673	14267
507	14729	14265
508	14766	14244
509	14798	14218
510	14827	14189
511	14883	14185
512	15031	14269
513	15051	14231
514	15070	14192
515	15090	14154
516	15114	14120
517	15135	14083
518	15156	14046
519	15183	14015
520	15203	13978
521	15226	13943
522	15249	13908
523	15269	13870
524	15289	13833
525	15313	13799
526	15335	13763
527	15358	13729
528	15385	13698
529	15406	13662
530	15427	13625
531	15448	13589
532	15469	13553
533	15492	13519
534	15514	13484
535	15554	13464
536	15605	13454
537	15655	13444
538	15681	13412
539	15706	13379
540	15772	13382
541	15805	13356
542	15836	13328
543	15867	13300
544	15897	13272
545	15932	13247
546	15956	13214
547	15986	13185
548	16021	13161
549	16044	13126
550	16070	13095
551	16090	13058
552	16109	13021
553	16131	12986
554	16153	12951
555	16177	12918
556	16199	12884
557	16233	12858
558	16258	12826
559	16300	12807
560	16324	12774
561	16346	12740
562	16371	12707
563	16399	12677
564	16420	12642
565	16440	12606
566	16463	12572
567	16486	12538
568	16506	12503
569	16527	12467
570	16548	12432
571	16579	12405
572	16609	12377
573	16635	12345
574	16656	12311
575	16688	12284
576	16721	12258
577	16745	12226
578	16768	12192
579	16792	12160
580	16813	12125
581	16843	12096
582	16875	12070
583	16899	12038
584	16920	12003
585	16942	11969
586	16966	11937
587	16990	11904
588	17011	11870
589	17039	11841
590	17060	11806
591	17082	11772
592	17104	11739
593	17125	11705
594	17144	11670
595	17164	11635
596	17189	11603
597	17210	11569
598	17238	11540
599	17265	11510
600	17290	11478
601	17311	11445
602	17337	11414
603	17359	11381
604	17381	11348
605	17404	11315
606	17425	11281
607	17445	11248
608	17468	11215
609	17490	11182
610	17511	11148
611	17534	11116
612	17554	11082
613	17579	11051
614	17603	11020
615	17626	10988
616	17654	10959
617	17685	10931
618	17705	10898
619	17727	10864
620	17759	10838
621	17788	10810
622	17808	10776
623	17829	10743
624	17851	10711
625	17873	10678
626	17898	10647
627	17919	10614
628	17939	10581
629	17958	10547
630	17982	10515
631	18006	10484
632	18031	10454
633	18050	10420
634	18071	10387
635	18090	10353
636	18112	10321
637	18136	10290
638	18245	10307
639	18326	10308
640	18359	10282
641	18425	10274
642	18450	10243
643	18469	10209
644	18493	10178
645	18513	10145
646	18534	10112
647	18553	10078
648	18575	10046
649	18597	10014
650	18617	9980
651	18637	9947
652	18660	9915
653	18691	9888
654	18723	9861
655	18746	9830
